id_actividad;descripcion_actividad
236212;Supervisión de edificación de naves y plantas industriales
237133;Supervisión de construcción de obras de generación y conducción de energía eléctrica y de obras para telecomunicaciones
311811;Panificación industrial
311812;Panificación tradicional
315229;Confección en serie de otra ropa exterior de materiales textiles
311422;Conservación de frutas y verduras por procesos distintos a la congelación y la deshidratación
311830;Elaboración de tortillas de maíz y molienda de nixtamal
312112;Purificación y embotellado de agua
315223;Confección en serie de uniformes
311999;Elaboración de otros alimentos
315225;Confección de prendas de vestir sobre medida
312113;Elaboración de hielo
312131;Elaboración de bebidas alcohólicas a base de uva
311710;Preparación y envasado de pescados y mariscos
311110;Elaboración de alimentos para animales
312120;Elaboración de cerveza
312111;Elaboración de refrescos y otras bebidas no alcohólicas
311924;Preparación y envasado de té
311613;Preparación de embutidos y otras conservas de carne de ganado, aves y otros animales comestibles
311212;Elaboración de harina de trigo
311511;Elaboración de leche líquida
314991;Confección, bordado y deshilado de productos textiles
311520;Elaboración de helados y paletas
311222;Elaboración de aceites y grasas vegetales comestibles
315210;Confección de prendas de vestir de cuero, piel y de materiales sucedáneos
314120;Confección de cortinas, blancos y similares
314992;Fabricación de redes y otros productos de cordelería
311412;Congelación de guisos y otros alimentos preparados
311813;Elaboración de tortillas de harina de trigo de forma tradicional
316999;Fabricación de otros productos de cuero, piel y materiales sucedáneos
315999;Confección de otros accesorios y prendas de vestir no clasificados en otra parte
314110;Fabricación de alfombras y tapetes
315991;Confección de sombreros y gorras
311910;Elaboración de botanas
313220;Fabricación de telas angostas de tejido de trama y pasamanería
311350;Elaboración de chocolate y productos de chocolate
315123;Fabricación de ropa exterior de tejido de punto
311340;Elaboración de dulces, chicles y productos de confitería que no sean de chocolate
311213;Elaboración de harina de maíz
313310;Acabado de productos textiles
311923;Elaboración de café instantáneo
311922;Elaboración de café tostado y molido
316991;Fabricación de bolsos de mano, maletas y similares
311411;Congelación de frutas y verduras
311612;Corte y empacado de carne de ganado, aves y otros animales comestibles
315224;Confección en serie de disfraces y trajes típicos
311423;Conservación de guisos y otros alimentos preparados por procesos distintos a la congelación
314912;Confección de productos de textiles recubiertos y de materiales sucedáneos
313113;Fabricación de hilos para coser y bordar
311513;Elaboración de derivados y fermentos lácteos
314999;Fabricación de banderas y otros productos textiles no clasificados en otra parte
315221;Confección en serie de ropa interior y de dormir
311820;Elaboración de galletas y pastas para sopa
316110;Curtido y acabado de cuero y piel
316211;Fabricación de calzado con corte de piel y cuero
311993;Elaboración de alimentos frescos para consumo inmediato
311940;Elaboración de condimentos y aderezos
313111;Preparación e hilado de fibras duras naturales
312222;Elaboración de puros y otros productos de tabaco
315222;Confección en serie de camisas
311930;Elaboración de concentrados, polvos, jarabes y esencias de sabor para bebidas
313210;Fabricación de telas anchas de tejido de trama
311421;Deshidratación de frutas y verduras
311230;Elaboración de cereales para el desayuno
313320;Fabricación de telas recubiertas
311614;Elaboración de manteca y otras grasas animales comestibles
316213;Fabricación de calzado de plástico
311215;Elaboración de malta
311611;Matanza de ganado, aves y otros animales comestibles
312144;Elaboración de tequila
312221;Elaboración de cigarros
312149;Elaboración de otras bebidas destiladas
323119;Impresión de formas continuas y otros impresos
322299;Fabricación de otros productos de cartón y papel
327991;Fabricación de productos a base de piedras de cantera
326199;Fabricación de otros productos de plástico sin reforzamiento
327121;Fabricación de ladrillos no refractarios
326193;Fabricación de envases y contenedores de plástico para embalaje con y sin reforzamiento
324120;Fabricación de productos de asfalto
325310;Fabricación de fertilizantes
327420;Fabricación de yeso y productos de yeso
327399;Fabricación de otros productos de cemento y concreto
325610;Fabricación de jabones, limpiadores y dentífricos
327111;Fabricación de artículos de alfarería, porcelana y loza
325999;Fabricación de otros productos químicos
321992;Fabricación de artículos y utensilios de madera para el hogar
322210;Fabricación de envases de cartón
321920;Fabricación de productos para embalaje y envases de madera
321910;Fabricación de productos de madera para la construcción
326192;Fabricación de autopartes de plástico con y sin reforzamiento
326194;Fabricación de otros productos de plástico de uso industrial sin reforzamiento
326140;Fabricación de espumas y productos de poliestireno
327219;Fabricación de otros productos de vidrio
321991;Fabricación de productos de materiales trenzables, excepto palma
327215;Fabricación de artículos de vidrio de uso doméstico
325412;Fabricación de preparaciones farmacéuticas
327910;Fabricación de productos abrasivos
321999;Fabricación de otros productos de madera
322132;Fabricación de cartón y cartoncillo a partir de pulpa
325130;Fabricación de pigmentos y colorantes sintéticos
325180;Fabricación de otros productos químicos básicos inorgánicos
327214;Fabricación de fibra de vidrio
327122;Fabricación de azulejos y losetas no refractarias
326160;Fabricación de botellas de plástico
321210;Fabricación de laminados y aglutinados de madera
322230;Fabricación de productos de papelería
325211;Fabricación de resinas sintéticas
327330;Fabricación de tubos y bloques de cemento y concreto
327999;Fabricación de otros productos a base de minerales no metálicos
325993;Fabricación de resinas de plásticos reciclados
326110;Fabricación de bolsas y películas de plástico flexible
326198;Fabricación de otros productos de plástico con reforzamiento
327320;Fabricación de concreto
326212;Revitalización de llantas
326191;Fabricación de productos de plástico para el hogar con y sin reforzamiento
327211;Fabricación de vidrio
326150;Fabricación de espumas y productos de uretano
321993;Fabricación de productos de madera de uso industrial
321112;Aserrado de tablas y tablones
323120;Industrias conexas a la impresión
327310;Fabricación de cemento y productos a base de cemento en plantas integradas
325520;Fabricación de adhesivos
327391;Fabricación de productos preesforzados de concreto
324191;Fabricación de aceites y grasas lubricantes
326130;Fabricación de laminados de plástico rígido
322291;Fabricación de pañales desechables y productos sanitarios
325120;Fabricación de gases industriales
326120;Fabricación de tubería y conexiones, y tubos para embalaje
325190;Fabricación de otros productos químicos básicos orgánicos
322220;Fabricación de bolsas de papel y productos celulósicos recubiertos y tratados
327213;Fabricación de envases y ampolletas de vidrio
322122;Fabricación de papel a partir de pulpa
325992;Fabricación de películas, placas y papel fotosensible para fotografía
326220;Fabricación de bandas y mangueras de hule y de plástico
325910;Fabricación de tintas para impresión
325320;Fabricación de pesticidas y otros agroquímicos, excepto fertilizantes
322131;Fabricación de cartón en plantas integradas
326290;Fabricación de otros productos de hule
325212;Fabricación de hules sintéticos
325510;Fabricación de pinturas y recubrimientos
323111;Impresión de libros, periódicos y revistas
325620;Fabricación de cosméticos, perfumes y otras preparaciones de tocador
321111;Aserraderos integrados
322110;Fabricación de pulpa
325220;Fabricación de fibras químicas
327112;Fabricación de muebles de baño
322121;Fabricación de papel en plantas integradas
327212;Fabricación de espejos
325110;Fabricación de petroquímicos básicos del gas natural y del petróleo refinado
327123;Fabricación de productos refractarios
321113;Tratamiento de la madera y fabricación de postes y durmientes
327410;Fabricación de cal
339913;Joyería de metales y piedras no preciosos y de otros materiales
332320;Fabricación de productos de herrería
335999;Fabricación de otros productos eléctricos
332710;Maquinado de piezas metálicas para maquinaria y equipo en general
337110;Fabricación de cocinas integrales y muebles modulares de baño
337120;Fabricación de muebles, excepto cocinas integrales, muebles modulares de baño y muebles de oficina y estantería
332810;Recubrimientos y terminados metálicos
332999;Fabricación de otros productos metálicos
339999;Otras industrias manufactureras
331210;Fabricación de tubos y postes de hierro y acero
331112;Fabricación de desbastes primarios y ferroaleaciones
331220;Fabricación de otros productos de hierro y acero
339112;Fabricación de material desechable de uso médico
331520;Moldeo por fundición de piezas metálicas no ferrosas
334310;Fabricación de equipo de audio y de video
339111;Fabricación de equipo no electrónico para uso médico, dental y para laboratorio
339920;Fabricación de artículos deportivos
336410;Fabricación de equipo aeroespacial
336360;Fabricación de asientos y accesorios interiores para vehículos automotores
337210;Fabricación de muebles de oficina y estantería
333411;Fabricación de equipo de aire acondicionado y calefacción
333249;Fabricación de maquinaria y equipo para otras industrias manufactureras
335220;Fabricación de aparatos de línea blanca
333999;Fabricación de otra maquinaria y equipo para la industria en general
332510;Fabricación de herrajes y cerraduras
334410;Fabricación de componentes electrónicos
331490;Laminación secundaria de otros metales no ferrosos
332310;Fabricación de estructuras metálicas
339950;Fabricación de anuncios y señalamientos
335210;Fabricación de enseres electrodomésticos menores
337920;Fabricación de persianas y cortineros
335132;Fabricación de lámparas ornamentales
331310;Industria básica del aluminio
336210;Fabricación de carrocerías y remolques
336320;Fabricación de equipo eléctrico y electrónico y sus partes para vehículos automotores
334220;Fabricación de equipo de transmisión y recepción de señales de radio y televisión, y equipo de comunicación inalámbrico
332110;Fabricación de productos metálicos forjados y troquelados
336510;Fabricación de equipo ferroviario
335910;Fabricación de acumuladores y pilas
332720;Fabricación de tornillos, tuercas, remaches y similares
336370;Fabricación de piezas metálicas troqueladas para vehículos automotrices
333319;Fabricación de otra maquinaria y equipo para el comercio y los servicios
336610;Fabricación de embarcaciones
339991;Fabricación de instrumentos musicales
334290;Fabricación de otros equipos de comunicación
339912;Orfebrería y joyería de metales y piedras preciosos
332910;Fabricación de válvulas metálicas
339930;Fabricación de juguetes
339113;Fabricación de artículos oftálmicos
336992;Fabricación de bicicletas y triciclos
333610;Fabricación de motores de combustión interna, turbinas y transmisiones
336390;Fabricación de otras partes para vehículos automotrices
335930;Fabricación de enchufes, contactos, fusibles y otros accesorios para instalaciones eléctricas
334519;Fabricación de otros instrumentos de medición, control, navegación, y equipo médico electrónico
339940;Fabricación de artículos y accesorios para escritura, pintura, dibujo y actividades de oficina
332610;Fabricación de alambre, productos de alambre y resortes
332212;Fabricación de utensilios de cocina metálicos
332211;Fabricación de herramientas de mano metálicas sin motor
335131;Fabricación de focos
333243;Fabricación de maquinaria y equipo para la industria alimentaria y de las bebidas
333510;Fabricación de maquinaria y equipo para la industria metalmecánica
335920;Fabricación de cables de conducción eléctrica
331111;Complejos siderúrgicos
337910;Fabricación de colchones
336310;Fabricación de motores de gasolina y sus partes para vehículos automotrices
333111;Fabricación de maquinaria y equipo agrícola
336999;Fabricación de otro equipo de transporte
333120;Fabricación de maquinaria y equipo para la construcción
336340;Fabricación de partes de sistemas de frenos para vehículos automotrices
333112;Fabricación de maquinaria y equipo pecuario
332410;Fabricación de calderas industriales
332430;Fabricación de envases metálicos de calibre ligero
333920;Fabricación de maquinaria y equipo para levantar y trasladar
339994;Fabricación de velas y veladoras
333910;Fabricación de bombas y sistemas de bombeo
335312;Fabricación de equipo y aparatos de distribución de energía eléctrica
333412;Fabricación de equipo de refrigeración industrial y comercial
331510;Moldeo por fundición de piezas de hierro y acero
333991;Fabricación de equipo para soldar y soldaduras
336330;Fabricación de partes de sistemas de dirección y de suspensión para vehículos automotrices
332420;Fabricación de tanques metálicos de calibre grueso
339914;Metalistería de metales no preciosos
336110;Fabricación de automóviles y camionetas
335311;Fabricación de motores y generadores eléctricos
333241;Fabricación de maquinaria y equipo para la industria de la madera
336350;Fabricación de partes de sistemas de transmisión para vehículos automotores
334110;Fabricación de computadoras y equipo periférico
339993;Fabricación de escobas, cepillos y similares
336120;Fabricación de camiones y tractocamiones
339995;Fabricación de ataúdes
333130;Fabricación de maquinaria y equipo para la industria extractiva
333242;Fabricación de maquinaria y equipo para la industria del hule y del plástico
336991;Fabricación de motocicletas
333312;Fabricación de máquinas fotocopiadoras
331419;Fundición y refinación de otros metales no ferrosos
333244;Fabricación de maquinaria y equipo para la industria textil
332991;Fabricación de baleros y rodamientos
334610;Fabricación y reproducción de medios magnéticos y ópticos
435319;Comercio al por mayor de maquinaria y equipo para otros servicios y para actividades comerciales
431220;Comercio al por mayor de cigarros, puros y tabaco
431110;Comercio al por mayor de abarrotes
431191;Comercio al por mayor de pan y pasteles
433410;Comercio al por mayor de artículos de papelería
431160;Comercio al por mayor de leche y otros productos lácteos
435311;Comercio al por mayor de equipo de telecomunicaciones, fotografía y cinematografía
434222;Comercio al por mayor de productos químicos para la industria farmacéutica y para otro uso industrial
434229;Comercio al por mayor de otras materias primas para otras industrias
435220;Comercio al por mayor de maquinaria y equipo para la industria manufacturera
434221;Comercio al por mayor de materiales metálicos para la construcción y la manufactura
431193;Comercio al por mayor de conservas alimenticias
434230;Comercio al por mayor de combustibles de uso industrial
434111;Comercio al por mayor de fertilizantes, plaguicidas y semillas para siembra
433110;Comercio al por mayor de productos farmacéuticos
434211;Comercio al por mayor de cemento, tabique y grava
435313;Comercio al por mayor de mobiliario, equipo e instrumental médico y de laboratorio
434224;Comercio al por mayor de madera para la construcción y la industria
431199;Comercio al por mayor de otros alimentos
431130;Comercio al por mayor de frutas y verduras frescas
434311;Comercio al por mayor de desechos metálicos
435210;Comercio al por mayor de maquinaria y equipo para la construcción y la minería
434219;Comercio al por mayor de otros materiales para la construcción, excepto de madera y metálicos
434319;Comercio al por mayor de otros materiales de desecho
434240;Comercio al por mayor de artículos desechables
431121;Comercio al por mayor de carnes rojas
435110;Comercio al por mayor de maquinaria y equipo agropecuario, forestal y para la pesca
431192;Comercio al por mayor de botanas y frituras
436112;Comercio al por mayor de partes y refacciones nuevas para automóviles, camionetas y camiones
431213;Comercio al por mayor de cerveza
431150;Comercio al por mayor de semillas y granos alimenticios, especias y chiles secos
432111;Comercio al por mayor de fibras, hilos y telas
431211;Comercio al por mayor de bebidas no alcohólicas y hielo
435419;Comercio al por mayor de otra maquinaria y equipo de uso general
434226;Comercio al por mayor de pintura
434225;Comercio al por mayor de equipo y material eléctrico
431123;Comercio al por mayor de pescados y mariscos
434312;Comercio al por mayor de desechos de papel y de cartón
434223;Comercio al por mayor de envases en general, papel y cartón para la industria
432130;Comercio al por mayor de calzado
435411;Comercio al por mayor de mobiliario, equipo, y accesorios de cómputo
434227;Comercio al por mayor de vidrios y espejos
432120;Comercio al por mayor de ropa, bisutería y accesorios de vestir
437313;Intermediación de comercio al por mayor de productos de uso doméstico y personal
433510;Comercio al por mayor de electrodomésticos menores y aparatos de línea blanca
435312;Comercio al por mayor de artículos y accesorios para diseño y pintura artística
432119;Comercio al por mayor de otros productos textiles
434228;Comercio al por mayor de ganado y aves en pie
433210;Comercio al por mayor de artículos de perfumería y cosméticos
436111;Comercio al por mayor de camiones
431122;Comercio al por mayor de carne de aves
431180;Comercio al por mayor de dulces y materias primas para repostería
435412;Comercio al por mayor de mobiliario y equipo de oficina
437312;Intermediación de comercio al por mayor de productos para la industria, el comercio y los servicios
433312;Comercio al por mayor de juguetes y bicicletas
431212;Comercio al por mayor de vinos y licores
431170;Comercio al por mayor de embutidos
434314;Comercio al por mayor de desechos de plástico
433313;Comercio al por mayor de artículos y aparatos deportivos
433430;Comercio al por mayor de revistas y periódicos
434112;Comercio al por mayor de medicamentos veterinarios y alimentos para animales, excepto mascotas
431140;Comercio al por mayor de huevo
437311;Intermediación de comercio al por mayor de productos agropecuarios
432112;Comercio al por mayor de blancos
433220;Comercio al por mayor de artículos de joyería y relojes
432113;Comercio al por mayor de cueros y pieles
434313;Comercio al por mayor de desechos de vidrio
431194;Comercio al por mayor de miel
463111;Comercio al por menor de telas
463211;Comercio al por menor de ropa, excepto de bebé y lencería
464121;Comercio al por menor de lentes
465919;Comercio al por menor de otros artículos de uso personal
466212;Comercio al por menor de teléfonos y otros aparatos de comunicación
464113;Comercio al por menor de productos naturistas, medicamentos homeopáticos y de complementos alimenticios
466112;Comercio al por menor de electrodomésticos menores y aparatos de línea blanca
468411;Comercio al por menor de gasolina y diesel
465111;Comercio al por menor de artículos de perfumería y cosméticos
461110;Comercio al por menor en tiendas de abarrotes, ultramarinos y misceláneas
465912;Comercio al por menor de regalos
463310;Comercio al por menor de calzado
465112;Comercio al por menor de artículos de joyería y relojes
468112;Comercio al por menor de automóviles y camionetas usados
461121;Comercio al por menor de carnes rojas
466410;Comercio al por menor de artículos usados
468211;Comercio al por menor de partes y refacciones nuevas para automóviles, camionetas y camiones
465311;Comercio al por menor de artículos de papelería
464111;Farmacias sin minisúper
462111;Comercio al por menor en supermercados
461220;Comercio al por menor de cigarros, puros y tabaco
465212;Comercio al por menor de juguetes
468212;Comercio al por menor de partes y refacciones usadas para automóviles, camionetas y camiones
466111;Comercio al por menor de muebles para el hogar
463215;Comercio al por menor de bisutería y accesorios de vestir
461122;Comercio al por menor de carne de aves
465913;Comercio al por menor de artículos religiosos
462112;Comercio al por menor en minisupers
461212;Comercio al por menor de cerveza
461123;Comercio al por menor de pescados y mariscos
462210;Comercio al por menor en tiendas departamentales
465215;Comercio al por menor de artículos y aparatos deportivos
466312;Comercio al por menor de plantas y flores naturales
466211;Comercio al por menor de mobiliario, equipo y accesorios de cómputo
461213;Comercio al por menor de bebidas no alcohólicas y hielo
461140;Comercio al por menor de semillas y granos alimenticios, especias y chiles secos
461160;Comercio al por menor de dulces y materias primas para repostería
461190;Comercio al por menor de otros alimentos
461130;Comercio al por menor de frutas y verduras frescas
461170;Comercio al por menor de paletas de hielo y helados
461211;Comercio al por menor de vinos y licores
465915;Comercio al por menor en tiendas de artesanías
461150;Comercio al por menor de leche, otros productos lácteos y embutidos
467111;Comercio al por menor en ferreterías y tlapalerías
468311;Comercio al por menor de motocicletas
467114;Comercio al por menor de vidrios y espejos
467112;Comercio al por menor de pisos y recubrimientos cerámicos
467113;Comercio al por menor de pintura
463214;Comercio al por menor de disfraces, vestimenta regional y vestidos de novia
465911;Comercio al por menor de mascotas
463218;Comercio al por menor de sombreros
463216;Comercio al por menor de ropa de cuero y piel y de otros artículos de estos materiales
463213;Comercio al por menor de lencería
468420;Comercio al por menor de aceites y grasas lubricantes, aditivos y similares para vehículos de motor
467117;Comercio al por menor de artículos para albercas y otros artículos
467115;Comercio al por menor de artículos para la limpieza
465914;Comercio al por menor de artículos desechables
468111;Comercio al por menor de automóviles y camionetas nuevos
466311;Comercio al por menor de alfombras, cortinas, tapices y similares
464122;Comercio al por menor de artículos ortopédicos
466114;Comercio al por menor de cristalería, loza y utensilios de cocina
466319;Comercio al por menor de otros artículos para la decoración de interiores
465216;Comercio al por menor de instrumentos musicales
468213;Comercio al por menor de llantas y cámaras para automóviles, camionetas y camiones
463112;Comercio al por menor de blancos
465312;Comercio al por menor de libros
467116;Comercio al por menor de materiales para la construcción en tiendas de autoservicio especializadas
464112;Farmacias con minisúper
468412;Comercio al por menor de gas L. P. en cilindros y para tanques estacionarios
466313;Comercio al por menor de antigüedades y obras de arte
468419;Comercio al por menor de otros combustibles
469110;Comercio al por menor exclusivamente a través de Internet, y catálogos impresos, televisión y similares
465211;Comercio al por menor de discos y casetes
463212;Comercio al por menor de ropa de bebé
465213;Comercio al por menor de bicicletas
465214;Comercio al por menor de equipo y material fotográfico
463113;Comercio al por menor de artículos de mercería y bonetería
468319;Comercio al por menor de otros vehículos de motor
466314;Comercio al por menor de lámparas ornamentales y candiles
468414;Comercio al por menor en estaciones de gas natural vehicular
465313;Comercio al por menor de revistas y periódicos
468413;Comercio al por menor de gas L. P. en estaciones de carburación
466113;Comercio al por menor de muebles para jardín
463217;Comercio al por menor de pañales desechables
488492;Servicios de administración de carreteras, puentes y servicios auxiliares
484129;Otro autotransporte foráneo de carga general
488511;Servicios de agencias aduanales
488519;Otros servicios de intermediación para el transporte de carga
484119;Otro autotransporte local de carga general
485210;Transporte colectivo foráneo de pasajeros de ruta fija
482110;Transporte por ferrocarril
488310;Administración de puertos y muelles
484111;Autotransporte local de productos agrícolas sin refrigeración
481111;Transporte aéreo regular en líneas aéreas nacionales
488112;Administración de aeropuertos y helipuertos
488111;Servicios a la navegación aérea
485320;Alquiler de automóviles con chofer
485510;Alquiler de autobuses con chofer
488990;Otros servicios relacionados con el transporte
487110;Transporte turístico por tierra
484239;Otro autotransporte foráneo de carga especializado
484210;Servicios de mudanzas
488410;Servicios de grúa
485111;Transporte colectivo urbano y suburbano de pasajeros en autobuses de ruta fija
484229;Otro autotransporte local de carga especializado
485410;Transporte escolar y de personal
488491;Servicios de administración de centrales camioneras
484223;Autotransporte local con refrigeración
484233;Autotransporte foráneo con refrigeración
484231;Autotransporte foráneo de materiales para la construcción
484232;Autotransporte foráneo de materiales y residuos peligrosos
484121;Autotransporte foráneo de productos agrícolas sin refrigeración
484221;Autotransporte local de materiales para la construcción
488190;Otros servicios relacionados con el transporte aéreo
488390;Otros servicios relacionados con el transporte por agua
487210;Transporte turístico por agua
488493;Servicios de báscula para el transporte y otros servicios relacionados con el transporte por carretera
488320;Servicios de carga y descarga para el transporte por agua
488330;Servicios para la navegación por agua
483112;Transporte marítimo de cabotaje, excepto de petróleo y gas natural
486210;Transporte de gas natural por ductos
484222;Autotransporte local de materiales y residuos peligrosos
485990;Otro transporte terrestre de pasajeros
486910;Transporte por ductos de productos refinados del petróleo
483113;Transporte marítimo de petróleo y gas natural
485115;Transporte colectivo urbano y suburbano de pasajeros en autobuses que transitan en carril exclusivo
484224;Autotransporte local de madera
483111;Transporte marítimo de altura, excepto de petróleo y gas natural
483210;Transporte por aguas interiores
481210;Transporte aéreo no regular
492110;Servicios de mensajería y paquetería foránea
493119;Otros servicios de almacenamiento general sin instalaciones especializadas
493130;Almacenamiento de productos agrícolas que no requieren refrigeración
493190;Otros servicios de almacenamiento con instalaciones especializadas
492210;Servicios de mensajería y paquetería local
493120;Almacenamiento con refrigeración
491110;Servicios postales
493111;Almacenes generales de depósito
516110;Estaciones de transmisión de programas de radio
519211;Bibliotecas y archivos del sector privado
517311;Operadores de servicios de telecomunicaciones alámbricas
512240;Grabación de discos compactos (CD) y de video digital (DVD) o casetes musicales
517910;Otros servicios de telecomunicaciones
516210;Servicios de distribución de audio y video en tiempo real (streaming), redes sociales, cadenas de radio y televisión y otros proveedores de contenido
517312;Operadores de servicios de telecomunicaciones inalámbricas
512290;Otros servicios de grabación del sonido
519212;Bibliotecas y archivos del sector público
517410;Operadores de servicios de telecomunicaciones vía satélite
513192;Edición de otros materiales integrada con la impresión
512112;Producción de programas para la televisión
512113;Producción de videoclips, comerciales y otros materiales audiovisuales
513121;Edición de revistas y otras publicaciones periódicas en formato electrónico
513112;Edición de periódicos integrada con la impresión
513132;Edición de libros integrada con la impresión
512130;Exhibición de películas y otros materiales audiovisuales
513111;Edición de periódicos en formato electrónico
518210;Procesamiento electrónico de información, hospedaje y otros servicios relacionados
513131;Edición de libros en formato electrónico
512250;Productoras y distribuidoras discográficas
513191;Edición de otros materiales en formato electrónico
513210;Edición de software
512230;Editoras de música
519290;Portales de búsqueda en la red y otros servicios de suministro de información
516120;Estaciones de transmisión de programas de televisión
524210;Agentes, ajustadores y gestores de seguros y fianzas
522452;Casas de empeño
522320;Cajas de ahorro popular
522110;Banca múltiple
523110;Casas de bolsa
523122;Centros cambiarios
523910;Asesoría en inversiones
524130;Compañías afianzadoras
524110;Compañías de seguros
524220;Administración de cajas de pensión y de seguros independientes
522220;Fondos y fideicomisos financieros
522490;Otras instituciones de intermediación crediticia y financiera no bursátil
522390;Otras instituciones de ahorro y préstamo
522460;Sociedades financieras de objeto múltiple
522310;Uniones de crédito
522440;Compañías de autofinanciamiento
522510;Servicios relacionados con la intermediación crediticia no bursátil
521110;Banca central
522210;Banca de desarrollo
522451;Montepíos
524120;Fondos de aseguramiento campesino
523990;Otros servicios relacionados con la intermediación bursátil
523121;Casas de cambio
531210;Inmobiliarias y corredores de bienes raíces
531113;Alquiler sin intermediación de salones para fiestas y convenciones
532492;Alquiler de maquinaria y equipo para mover, levantar y acomodar materiales
532310;Centros generales de alquiler
531319;Otros servicios relacionados con los servicios inmobiliarios
531114;Alquiler sin intermediación de oficinas y locales comerciales
531311;Servicios de administración de bienes raíces
531119;Alquiler sin intermediación de otros bienes raíces
531111;Alquiler sin intermediación de viviendas amuebladas
532282;Alquiler de mesas, sillas, vajillas y similares
532110;Alquiler de automóviles sin chofer
532281;Alquiler de prendas de vestir
531112;Alquiler sin intermediación de viviendas no amuebladas
532411;Alquiler de maquinaria y equipo para construcción, minería y actividades forestales
531116;Alquiler sin intermediación de edificios industriales dentro de un parque industrial
532493;Alquiler de maquinaria y equipo comercial y de servicios
532289;Alquiler de otros artículos para el hogar y personales
532122;Alquiler de autobuses, minibuses y remolques sin chofer
532420;Alquiler de equipo de cómputo y de otras máquinas y mobiliario de oficina
531115;Alquiler sin intermediación de teatros, estadios, auditorios y similares
533110;Servicios de alquiler de marcas registradas, patentes y franquicias
532121;Alquiler de camiones de carga sin chofer
532491;Alquiler de maquinaria y equipo agropecuario, pesquero y para la industria manufacturera
532210;Alquiler de aparatos eléctricos y electrónicos para el hogar y personales
541941;Servicios veterinarios para mascotas prestados por el sector privado
541920;Servicios de fotografía y videograbación
541510;Servicios de diseño de sistemas de cómputo y servicios relacionados
541110;Bufetes jurídicos
541310;Servicios de arquitectura
541610;Servicios de consultoría en administración
541330;Servicios de ingeniería
541219;Otros servicios relacionados con la contabilidad
541430;Diseño gráfico
541190;Servicios de apoyo para efectuar trámites legales
541211;Servicios de contabilidad y auditoría
541690;Otros servicios de consultoría científica y técnica
541810;Agencias de publicidad
541890;Servicios de rotulación y otros servicios de publicidad
541380;Laboratorios de pruebas
541120;Notarías públicas
541620;Servicios de consultoría en medio ambiente
541340;Servicios de dibujo
541930;Servicios de traducción e interpretación
541420;Diseño industrial
541490;Diseño de modas y otros diseños especializados
541350;Servicios de inspección de edificios
541370;Servicios de elaboración de mapas
541990;Otros servicios profesionales, científicos y técnicos
